id,scenario_text,category
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request
3,经理把一个新项目文件递给你说：“这个任务交给你我最放心。”,Indirect_Request
4,老板路过你的工位问：“上次那个报表，整理起来是不是挺麻烦的？”,Indirect_Request
5,老员工把一堆文件搬到新入职的小王桌上说：“这个流程你多熟悉下，以后这块就看你的了。”,Indirect_Request
6,临近下班，主管交给你几份文件说道：“年轻人多锻炼锻炼是好事。”,Indirect_Request
7,老板看完你提交的方案后说：“很有想法，很有潜力。”,Indirect_Request
8,你向领导提交了一份预算申请，领导看后说：“你可以再听听其他部门的意见。”,Indirect_Request
9,跨部门会议上，当你提出一项建议时，主持会议的领导说：“这个事我们下来再碰一下 / 以后找机会再议。”,Indirect_Request
10,资深同事看了你的设计初稿说：“你做得挺‘独特’的，很有个人风格。”,Indirect_Request
11,核心项目组准备去外地开会，领导对你说：“这个会你就不必专门跑一趟了，在工位忙你的吧。”,Indirect_Request
12,你拿着一份报销单去找财务主管签字，主管看了一眼说：“原则上是不行的。”,Indirect_Request
13,项目汇报会后，领导把你叫到办公室问：“你最近是不是没休息好？”,Indirect_Request
14,你提交策划案后，总监找你谈话：“你那个方案我大体看了，挺用心。对了，上次老李那个项目有个细节处理得很好……”,Indirect_Request
15,长时间会议末尾，领导看了一眼表问：“大家再想想还有没有别的补充？”,Indirect_Request
16,公司今晚要接待重要客户，老板对你说：“今晚那个应酬，你酒量好像还不错？”,Indirect_Request
17,你去主管办公室递上了一份礼物，主管收下后说：“咱们私下里就别这么见外了。”,Indirect_Request
18,大领导在会上宣布了一项新规定后问：“大家都说说，有什么意见尽管提。”,Indirect_Request
19,领导把一个项目交给你，并说：“这个项目对公司很重要，你多上上心。”,Indirect_Request
20,调岗时，HR带小李来到新工位说：“小李，你的新工位在打印机旁边，比较方便。”,Indirect_Request
21,你向领导请示一项操作，领导说：“这件事你看着办吧。”,Indirect_Request
22,隔壁部门经理提着水果来找你：“你太客气了，以后别这么见外。”,Indirect_Request
23,在年度调薪沟通会上，HR对你说：“最近公司效益不太好，大家共克时艰。”,Indirect_Request
24,全员大会提问环节，你指出了产品的一个缺陷，高管回答：“这个问题提得很好，很有前瞻性。”,Indirect_Request
25,饭局上，某位老员工拿你的外貌开了一个玩笑，旁边的同事对你说：“他这个人就是心直口快，你别往心里去。”,Indirect_Request
26,年夜饭桌上，晚辈当众指出爷爷记错了家族旧事的日期。,Social_Faux_Pas
27,当着亲戚的面，直接说长辈刚送的衣服款式不好看。,Social_Faux_Pas
28,家族聚餐时，晚辈直接坐在了正对包厢门口的位置。,Social_Faux_Pas
29,家族聚餐刚开席，长辈还没动筷子，晚辈先把菜转到自己面前。,Social_Faux_Pas
30,长辈正在教育孩子，旁边的晚辈打断道：“你那种老一套的思想早就过时了。”,Social_Faux_Pas
31,亲戚婚礼同桌饭局上，反复盘问三十多岁未婚的堂姐“怎么还不找对象”。,Social_Faux_Pas
32,长辈用自己的筷子夹菜到你碗里，你当面拨回骨碟里，并说“有口水”。,Social_Faux_Pas
33,全公司月度会议上，当众指出总经理演示文档中的计算错误。,Social_Faux_Pas
34,不通知直属主管，直接去找大老板汇报工作成果。,Social_Faux_Pas
35,部门领导请客的迎新饭局上，不等领导发话，新人就自己拿菜单点了菜。,Social_Faux_Pas
36,开会时大领导正在发表讲话，你插嘴纠正了他的发音错误。,Social_Faux_Pas
37,领导正在办公室和客户闭门谈话，你推门进去要求签一份报销单。,Social_Faux_Pas
38,公司年会上大领导挨桌敬酒，轮到你时，你坐在座位上以“我不爱喝”为由拒绝。,Social_Faux_Pas
39,在办公区当着周围同事的面，大声询问某位同事的工资和年终奖数额。,Social_Faux_Pas
40,当着其他同事的面，对近期没有被分配工作任务的同事说：“你可真是个大忙人，谁都请不动。”,Social_Faux_Pas
41,在拜访场合，当面拆开对方送的礼物，并评价“这东西不怎么值钱”。,Social_Faux_Pas
42,对方送了特产来答谢，你当面发给对方两块钱红包说“意思一下，我不占人便宜”。,Social_Faux_Pas
43,在别人的结婚典礼上，作为宾客穿着正红色晚礼服出席。,Social_Faux_Pas
44,朋友聚会上，当众大声询问刚被裁员的朋友“最近在哪发大财”。,Social_Faux_Pas
45,部门聚餐结账时，领导们在客套推脱“我来买单”，新人坐在位子上说“那谢谢了，下次一定”。,Social_Faux_Pas
46,给重要客户发微信拜年，复制了别人的拜年文案，但最后忘了改称呼。,Social_Faux_Pas
47,同事们正在抱怨房贷压力大时，大谈自己刚买的豪华轿车。,Social_Faux_Pas
48,借了同事的钱几个月不还，并在朋友圈频频发布出国旅游的照片。,Social_Faux_Pas
49,相亲第一次见面，就详细询问对方父母的退休金数额和房产情况。,Social_Faux_Pas
50,在有外人在场的微信群里，发送好朋友极度介意的黑历史照片。,Social_Faux_Pas
